Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C16, C2, C22, C4",0603,6,4.7uF,
"C10, C11",0603,2,10pF,
"C13, C14, C15, C3",0603,4,100nF,
"C17, C18, C19, C23, C24, C25, C5, C6, C7",0603,9,0.1uF,
"C20, C26, C8",0603,3,47nF,
"C21, C27, C9",0603,3,1uF,
D1,0201,1,LED,
D2,0603,1,DEBUG_LED,
D3,SOT-143,1,PRTR5V0U2X,
"D4, D5, D6",0603,3,LED,
IC1,SOT95P275X110-5N,1,NCP164CSN330T1G,
J1,AMPHENOL_10155435-00011LF,1,10155435-00011LF,
"J10, J11, J12, J4, J5, J6",JST_B5B-XH-A_LF__SN_,6,B5B-XH-A_LF__SN_,
J2,SAMTEC_FTSH-105-XX-X-DV,1,ftsh-105-01-l-dv-k,
J3,CUI_TB003-500-P02BE,1,TB003-500-P02BE,
"J7, J8, J9",PHOENIX_1984620,3,1984620,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TRANS_DI025N06PT-AQ,18,DI025N06PT-AQ,
"R1, R2",0603,2,5.1K,
"R10, R11, R12, R13, R14, R15, R16, R17, R9",0603,9,1k,
"R3, R4, R6, R7, R8",0603,5,3.3K,
R5,0603,1,47,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F303RET6,
"U2, U3, U4",QFN50P600X600X80-41N,3,DRV8353FSRTAR,
Y1,WE-SPXO_CFPS-39,1,WE-SPXO_CFPS-39,
