Designator,Mid X,Mid Y,Rotation,Layer
C1,179.675,-55.95,90.0,top
C10,144.575,-66.85,90.0,top
C11,148.775,-60.65,0.0,top
C12,156.075,-55.5125,90.0,top
C13,157.675,-55.5125,90.0,top
C14,159.275,-55.45,90.0,top
C15,160.875,-55.45,90.0,top
C16,68.01,-103.795,0.0,top
C17,68.01,-106.305,0.0,top
C18,68.01,-108.815,0.0,top
C19,68.01,-111.325,0.0,top
C2,166.3375,-55.65,180.0,top
C20,68.01,-113.835,0.0,top
C21,68.01,-116.345,0.0,top
C22,51.42,-103.795,0.0,top
C23,51.42,-106.305,0.0,top
C24,51.42,-108.815,0.0,top
C25,51.42,-111.325,0.0,top
C26,51.42,-113.835,0.0,top
C27,51.42,-116.345,0.0,top
C3,152.475,-64.15,0.0,top
C4,91.8425,-82.595,0.0,top
C5,91.8425,-85.105,0.0,top
C6,91.8425,-87.615,0.0,top
C7,91.8425,-90.125,0.0,top
C8,91.8425,-92.635,0.0,top
C9,91.8425,-95.145,0.0,top
D1,169.075,-55.65,180.0,top
D2,173.775,-66.35,180.0,top
D3,176.475,-62.45,270.0,top
IC1,175.925,-56.8,180.0,top
J1,187.375,-60.33,90.0,top
J2,83.135,-124.215,0.0,top
J3,78.0,-74.2375,0.0,top
J4,187.575,-84.85,90.0,top
J5,187.8,-101.5125,90.0,top
J6,187.875,-117.65,90.0,top
J7,50.225,-77.065,0.0,top
J8,50.225,-86.165,0.0,top
J9,50.225,-95.265,0.0,top
Q1,162.575,-79.55,180.0,top
Q10,63.215,-120.215,0.0,top
Q11,63.215,-125.265,0.0,top
Q12,63.215,-130.315,0.0,top
Q13,46.625,-105.065,0.0,top
Q14,46.625,-110.115,0.0,top
Q15,46.625,-115.165,0.0,top
Q16,46.625,-120.215,0.0,top
Q17,46.625,-125.265,0.0,top
Q18,46.625,-130.315,0.0,top
Q2,162.575,-83.625,180.0,top
Q3,162.575,-91.825,180.0,top
Q4,162.575,-87.75,180.0,top
Q5,162.475,-95.95,180.0,top
Q6,170.275,-92.75,270.0,top
Q7,63.215,-105.065,0.0,top
Q8,63.215,-110.115,0.0,top
Q9,63.215,-115.165,0.0,top
R1,180.275,-63.05,90.0,top
R2,179.575,-58.95,0.0,top
R3,171.675,-55.75,180.0,top
R4,91.8425,-97.655,0.0,top
R5,143.675,-64.35,0.0,top
R6,177.375,-66.35,0.0,top
R7,68.01,-118.855,0.0,top
R8,51.42,-118.855,0.0,top
U1,163.0,-64.6,270.0,top
U2,172.24,-84.0,270.0,top
U3,70.565,-124.25,0.0,top
U4,53.975,-124.25,0.0,top
Y1,148.675,-63.45,180.0,top
