Designator,Mid X,Mid Y,Rotation,Layer
C1,119.275,-74.85,0.0,top
C10,141.65,-77.35,180.0,top
C11,143.425,-70.45,180.0,top
C12,146.1375,-82.75,180.0,top
C13,146.1375,-81.15,180.0,top
C14,146.075,-79.55,180.0,top
C15,146.075,-77.95,180.0,top
C17,134.625,-87.4,90.0,top
C18,135.0,-100.2,270.0,top
C19,139.5125,-87.425,180.0,top
C20,139.5,-88.9,0.0,top
C21,131.475,-89.575,90.0,top
C23,142.15,-106.2,90.0,top
C24,158.375,-110.45,0.0,top
C25,150.4,-102.65,180.0,top
C26,146.25,-105.65,90.0,top
C27,139.1125,-109.65,180.0,top
C28,165.275,-98.175,90.0,top
C29,140.475,-90.45,180.0,top
C3,146.675,-74.95,90.0,top
C30,149.475,-104.125,180.0,top
C31,167.475,-101.575,0.0,top
C32,136.8,-87.525,270.0,top
C33,144.05,-106.175,270.0,top
C4,126.675,-77.55,90.0,top
C5,167.1,-103.375,180.0,top
C6,172.575,-90.35,0.0,top
C7,163.81,-98.105,270.0,top
C8,167.65,-99.35,180.0,top
C9,170.325,-101.525,270.0,top
D10,167.60525,-68.851,270.0,top
D11,169.30525,-68.851,270.0,top
D12,166.03025,-68.826,90.0,top
D2,147.425,-68.375,0.0,top
D3,111.325,-73.15,90.0,top
D4,170.15,-87.8,180.0,top
D5,136.5,-102.325,270.0,top
D6,158.475,-108.675,0.0,top
D7,136.175,-120.75,180.0,top
D8,131.15,-76.625,180.0,top
D9,115.35,-79.975,0.0,top
J1,103.295,-74.07,270.0,top
J10,188.975,-116.95,90.0,top
J11,116.15,-109.55,270.0,top
J12,167.625,-126.5,0.0,top
J14,127.675,-131.38375,180.0,top
J2,151.1125,-85.925,180.0,top
J3,193.1125,-99.25,270.0,top
J4,171.125,-82.05,0.0,top
J5,135.9,-82.85,0.0,top
J6,153.375,-99.15,0.0,top
J7,151.075,-131.6875,180.0,top
J8,111.9375,-92.25,90.0,top
J9,186.395,-72.18,0.0,top
Q1,179.375,-109.575,90.0,top
Q10,124.175,-105.275,90.0,top
Q11,124.075,-101.235,270.0,top
Q12,162.26,-118.65,180.0,top
Q13,145.9,-118.75,0.0,top
Q14,141.7,-118.75,180.0,top
Q15,158.7,-118.85,0.0,top
Q19,179.375,-100.875,270.0,top
Q2,179.375,-105.235,270.0,top
Q20,124.075,-93.125,90.0,top
Q21,150.15,-118.85,180.0,top
Q3,179.675,-96.575,90.0,top
Q4,124.275,-97.375,270.0,top
Q5,179.675,-92.425,90.0,top
Q6,179.675,-88.175,270.0,top
Q7,124.175,-88.725,270.0,top
Q8,124.275,-84.825,90.0,top
Q9,154.36,-118.85,0.0,top
R1,109.875,-69.75,270.0,top
R10,131.425,-86.925,180.0,top
R11,142.575,-111.05,0.0,top
R12,175.91,-88.105,270.0,top
R13,132.625,-99.325,180.0,top
R14,163.125,-111.15,180.0,top
R15,173.61,-101.605,90.0,top
R16,130.975,-92.15,180.0,top
R17,148.175,-113.1,0.0,top
R18,138.175,-122.25,0.0,top
R19,134.6875,-76.675,0.0,top
R2,111.175,-75.65,180.0,top
R20,115.325,-81.7,0.0,top
R21,163.63025,-69.651,0.0,top
R22,170.90525,-68.826,270.0,top
R23,163.60525,-67.826,0.0,top
R24,165.75,-90.6,270.0,top
R25,142.9,-100.825,90.0,top
R26,158.45,-103.975,180.0,top
R27,167.4,-87.0125,270.0,top
R28,138.975,-99.925,180.0,top
R29,158.45,-107.05,180.0,top
R30,168.4,-89.575,0.0,top
R31,138.9625,-101.475,180.0,top
R32,161.775,-107.1,180.0,top
R33,165.8,-87.075,270.0,top
R34,141.425,-100.825,90.0,top
R35,158.425,-105.55,180.0,top
R36,129.425,-74.125,0.0,top
R4,170.175,-86.175,0.0,top
R5,141.65,-75.75,180.0,top
R6,144.0,-68.325,180.0,top
R7,138.925,-103.4,0.0,top
R8,161.85,-108.75,0.0,top
R9,173.01,-105.105,90.0,top
U1,154.625,-74.575,270.0,top
U2,170.775,-94.955,90.0,top
U3,136.34,-94.9,270.0,top
U4,152.91,-108.705,0.0,top
U5,123.275,-77.25,0.0,top
Y2,143.35,-72.975,270.0,top
